,work.or.school,home,a.friend.s.place,travelling,pubs,night.clubs,clubs,cafes,restaurants,parties,When.exercising
Coca.Cola,0.51,0.6,0.65,0.46,0.51,0.43,0.45,0.51,0.6,0.6,0.16
Red.Bull,0.2,0.0643,0.0424,0.1,0.22,0.45,0.13,0.019,0.0192,0.13,0.14
V,0.39,0.13,0.0576,0.22,0.0513,0.15,0.068,0.0443,0.024,0.0875,0.27
Sprite,0.14,0.16,0.13,0.0813,0.11,0.0976,0.0874,0.14,0.16,0.12,0.0474
Diet.Coke,0.1,0.1,0.0727,0.0742,0.0769,0.0305,0.0583,0.12,0.0721,0.0563,0.0211
Fanta,0.14,0.14,0.097,0.0601,0.0192,0.0122,0.0388,0.0633,0.0721,0.1,0.0105
Lift,0.11,0.11,0.0636,0.0424,0.0705,0.0305,0.0388,0.0823,0.11,0.0375,0.0211
Pepsi,0.11,0.13,0.0939,0.0636,0.0449,0.0244,0.00971,0.0633,0.0673,0.075,0.0316
Lift.Plus,0.16,0.0378,0.0333,0.1,0.0128,0.0366,0.0388,0.00633,0.00962,0.0438,0.14
7.Up,0.0536,0.0681,0.0485,0.0389,0.0256,0.0183,0.0388,0.0696,0.0913,0.0875,0.00526
Solo,0.0692,0.051,0.0545,0.0318,0.0513,0.0183,0.0291,0.0633,0.0673,0.0563,0.0263
Deep.Spring,0.045,0.0359,0.0333,0.0389,0.0321,0.0061,0,0.057,0.0192,0.00625,0.0263
Lucozade,0.0502,0.017,0,0.0389,0.00641,0,0.00971,0.00633,0,0.00625,0.13
